Node,Commodity,Day,Month,Year,Timestep,Value
London Storages,water,180.0,6,2020.0,180,202828.0
Farmoor,water,181.0,6,2020.0,181,13822.0
London Storages,water,181.0,6,2020.0,181,202828.0
Farmoor,water,182.0,6,2020.0,182,13822.0
London Storages,water,182.0,6,2020.0,182,202828.0
Farmoor,water,183.0,7,2020.0,183,13822.0
London Storages,water,183.0,7,2020.0,183,202828.0
Farmoor,water,184.0,7,2020.0,184,13822.0
London Storages,water,184.0,7,2020.0,184,202773.01797000002
Farmoor,water,185.0,7,2020.0,185,13822.0
London Storages,water,185.0,7,2020.0,185,202596.73034
Farmoor,water,186.0,7,2020.0,186,13539.00327
London Storages,water,186.0,7,2020.0,186,202584.12114
Farmoor,water,187.0,7,2020.0,187,13556.006539999998
London Storages,water,187.0,7,2020.0,187,202154.35344
Farmoor,water,188.0,7,2020.0,188,13573.009809999998
London Storages,water,188.0,7,2020.0,188,201613.56184
Farmoor,water,189.0,7,2020.0,189,13590.013079999997
London Storages,water,189.0,7,2020.0,189,200966.67114000002
Farmoor,water,190.0,7,2020.0,190,13307.016349999996
London Storages,water,190.0,7,2020.0,190,200520.07474
Farmoor,water,191.0,7,2020.0,191,13024.019619999995
London Storages,water,191.0,7,2020.0,191,199979.90714000002
Farmoor,water,192.0,7,2020.0,192,12741.022889999995
London Storages,water,192.0,7,2020.0,192,199350.50572000002
Farmoor,water,193.0,7,2020.0,193,12458.026159999994
London Storages,water,193.0,7,2020.0,193,198639.34378000002
Farmoor,water,194.0,7,2020.0,194,12175.029429999993
London Storages,water,194.0,7,2020.0,194,197952.29608000003
Farmoor,water,195.0,7,2020.0,195,11892.032699999992
London Storages,water,195.0,7,2020.0,195,197402.53808000003
Farmoor,water,196.0,7,2020.0,196,11609.035969999992
London Storages,water,196.0,7,2020.0,196,196958.70648000002
Farmoor,water,197.0,7,2020.0,197,11326.039239999991
London Storages,water,197.0,7,2020.0,197,197190.00458
Farmoor,water,198.0,7,2020.0,198,11043.04250999999
